Var1_ 1,Var1_ 2,Var1_ 3,Var1_ 4,Var1_ 5,Var1_ 6,Var1_ 7,Var1_ 8,Var1_ 9,Var1_10,Var1_11,Var1_12
0,1.57,3.69,3.99,3.12,3.95,4.41,5.72,4.99,5.34,5.22,5.41
1.57,0,2.5,2.45,2.38,2.93,2.95,4.25,3.57,3.81,3.76,3.91
3.69,2.5,0,2.38,3.83,4.21,3.26,3.96,2.17,3.06,3.85,3.78
3.99,2.45,2.38,0,3.02,2.64,1.17,1.93,2.11,1.4,1.7,1.6
3.12,2.38,3.83,3.02,0,1.34,2.54,4.58,3.57,4,3.24,3.72
3.95,2.93,4.21,2.64,1.34,0,1.78,3.77,3.58,3.43,2.29,2.84
4.41,2.95,3.26,1.17,2.54,1.78,0,2.13,2.34,1.66,0.84,1.2
5.72,4.25,3.96,1.93,4.58,3.77,2.13,0,3.18,1.3,1.77,1.16
4.99,3.57,2.17,2.11,3.57,3.58,2.34,3.18,0,1.9,2.63,2.61
5.34,3.81,3.06,1.4,4,3.43,1.66,1.3,1.9,0,1.52,1.07
5.22,3.76,3.85,1.7,3.24,2.29,0.84,1.77,2.63,1.52,0,0.64
5.41,3.91,3.78,1.6,3.72,2.84,1.2,1.16,2.61,1.07,0.64,0
